mean,median,min,max,01,05,10,99,95,90
6796.70635914794,6788.595979586268,4751.39192357598,9017.397856597749,5252.268322402916,5739.673009189976,5995.858530994872,8226.39224041696,7876.213969888136,7645.752282965356
6706.7840941281165,6726.639568228065,4803.499171056023,8752.160743212951,5329.73205913658,5722.039914021285,5931.398462286903,8147.358674608549,7731.859052620546,7498.273413384677
6720.992495263808,6716.2349700733685,4792.152050973444,8697.539646544436,5354.570866056886,5739.180700666303,5923.472045820208,8075.831204919899,7745.916137480473,7507.033384658306
6692.838587424419,6722.0976676249375,4859.110938303989,9592.013651154008,5318.669310524464,5607.893469003523,5825.307340026902,8147.892195268669,7742.333750098415,7511.962520973742
6659.971322278773,6660.7788035004305,4364.7379982488,8494.347201751221,5244.8026817164855,5648.416324002286,5878.9950193155,8056.474378006238,7649.942594546831,7489.9483731007
6644.819008162272,6649.484367346047,4638.689821981821,8399.763879591388,5158.377679929619,5620.487522965638,5845.3110998358525,8125.71728272889,7694.554267670264,7472.01733952698
6590.841035636958,6593.835048420158,4696.077555044949,8957.063005606962,5103.429899282635,5492.54400319139,5746.44094766867,8015.2735612726865,7665.15358114713,7449.111614399766
6619.567390067623,6632.971987363795,4365.859294910193,8734.026748676315,5137.392370309251,5550.535491397124,5796.3684219479155,8054.816146902627,7601.550836459373,7405.103339590216
6546.2039881974115,6546.683245736489,4291.2789536889395,8400.177683336091,5138.442278260867,5528.91907294774,5707.752629147599,7938.056808321828,7566.206421727265,7390.972812391594
6542.126580530455,6524.753808535561,4740.035961500269,8246.665848708302,5082.754443274361,5447.814188306739,5768.865473025979,7993.798328179373,7573.855856739038,7326.292361981929
6521.267335558094,6538.887363984701,4344.924830334306,8406.402087182356,5058.203658440536,5523.066977778161,5735.335230417794,7961.206178538616,7603.9466880709515,7308.295288649222
6466.959954330308,6460.660591562124,4511.339784863383,8630.057165943954,4924.942135732535,5464.271177539642,5716.300807932533,7878.8660589474175,7511.937260779918,7250.825457120952
6482.474862395176,6510.172884672766,4320.601245416312,8657.908537800915,4977.2587333788915,5443.833868586323,5697.936026633646,7716.140075245777,7413.774444157602,7264.247594196334
6450.155983866777,6440.115577980307,4446.453471463226,8668.366082154718,5002.457041619887,5448.310543758164,5642.351566577387,7884.139458982621,7456.772771350318,7248.359689544568
6394.379768979302,6380.065505901397,4366.230881078454,8762.972813383838,4793.194323257679,5371.160392244483,5642.265317167105,7838.497472778898,7431.103766550875,7196.912672554996
6432.255307600386,6432.000181748159,4391.489037896904,8397.925352191805,5039.960931800874,5488.974413300364,5676.167401321421,7862.04821422315,7455.937730171134,7204.820712438863
6352.821021420184,6347.191707839176,3815.8652341365755,8670.620375052393,4828.7301694157895,5257.826253585861,5569.794856512108,7868.917565482117,7465.266653966648,7202.860823829651
6320.091542925924,6329.765809899061,4436.361860385198,8471.538262874225,4959.415803410928,5341.2636888756515,5548.6835041337445,7626.083053834625,7282.218939937069,7110.9342362639945
6271.224829522203,6261.098508151161,4252.26424907529,8078.781862757178,4811.051883515313,5240.69899295898,5464.153412798158,7733.016167886019,7325.749831540312,7116.069662567654
6295.4483531067735,6277.036263010919,4543.082845807897,8209.400163035109,4855.165310515948,5258.058592425856,5492.167830306068,7634.116720574063,7308.688472134097,7108.561205365635
6280.928376058558,6266.715779289474,4426.2069406947685,8402.88230156308,4690.724128273041,5176.240678355642,5437.922960338655,7857.327462190025,7372.022337975438,7153.996557146931
6227.283660522956,6226.822001895187,4221.380354380426,8004.376733627899,4857.137012608994,5237.125922110533,5416.194164443582,7589.473514703707,7223.840656320564,7018.34443318726
6198.100642330919,6200.853802763938,4238.563847836701,8297.456002457991,4741.3508678908465,5189.999807276135,5435.959295551349,7660.044681026904,7232.4951270013935,7001.690763112519
6223.888592612756,6216.2536544133,4276.063528641293,8486.315388954847,4807.463702181148,5185.236693659196,5443.301000059323,7793.610303847703,7278.352560844704,7038.543433029148
6155.8320229787805,6141.849459976762,3773.5566080473964,8125.127302952235,4756.045468152224,5151.954913431972,5394.807661199331,7679.027513457974,7184.4950003939475,6959.133364304207
6135.792799666805,6130.563711409799,3944.9535279056527,8024.090771573109,4799.088464170087,5121.020853278077,5380.585793419232,7501.391591032175,7107.16051319359,6902.360187745622
6090.324326136233,6076.959826282517,4388.568885968524,8880.58071993409,4714.9302209155885,5101.624304547701,5303.099211658675,7538.653952078987,7138.159853270864,6898.418101200252
6090.409703150093,6077.123983663053,3852.564396949887,8169.771247233656,4721.4782924386855,5082.843608706234,5315.488836373241,7635.384525560199,7068.760412648989,6866.058208304751
6040.039452298873,6050.447758072214,3992.8168031916493,8163.053844703294,4468.602096868516,5006.013239116476,5258.769136640082,7519.913505767229,7060.893237434062,6833.014695491418
6019.3087398238995,6010.052987858058,4220.531803527459,7820.844431947349,4553.051503127134,5055.96423903415,5256.629728180372,7461.4599250504725,7012.4098992132085,6815.492506020747
